Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs (000 US$),"Reconstruction Costs, Adjusted (000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages (000 US$),"Total Damages, Adjusted (000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2020-0270-BRA,2020,0270,,Natural,Meteorological,Storm,Convective storm,,,Brazil,BRA,South America,Americas,"Santa Catarina state; Iraí, Cacique Doble, Barracão, Vacaria and Capão Bonito do Sul (Rio Grande do Sul State); Parana",,Flood,"Slide (land, mud, snow, rock)",,,Yes,,100,Kph,,,,,2020,6,30,2020,7,1,12,,1119,,1119,,,,,100000,113077,88.43564081,1,680;685;688,,"Parana, Rio Grande Do Sul, Santa Catarina (Adm1)."
2020-0418-CHE,2020,0418,,Natural,Meteorological,Storm,Convective storm,,Storm 'Alex',Switzerland,CHE,Western Europe,Europe,,,Flood,"Slide (land, mud, snow, rock)",,,,,180,Kph,,,,,2020,10,2,2020,10,3,,,13,,13,,,,,,,88.43564081,1,2807;2808;2809;2810;2811;2812;2813;2814;2815;2816;2817;2818;2819;2820;2821;2822;2823;2824;2825;2826;2827;2828;2829;2830;2831;2832,,"Aargau, Appenzell Ausser-rhoden, Appenzell Inner-rhoden, Basel-landschaft, Basel-stadt, Bern, Fribourg, Geneve, Glarus, Graubunden, Jura, Luzern, Neuchatel, Nidwalden, Obwalden, Sankt Gallen, Schaffhausen, Schwyz, Solothurn, Thurgau, Ticino, Uri, Valais, Vaud, Zug, Zurich (Adm1)."
2020-0495-COL,2020,0495,TC-2020-000218,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane 'Iota',Colombia,COL,South America,Americas,"San Andre, Providencia Islands (Caribbean Sea), Bolivar, Choco, Guajira, Santa Catalina, Sucre, Atlántico, Magdalena,La Guajira Departments",,Flood,"Slide (land, mud, snow, rock)",,,,,,Kph,,,,,2020,11,14,2020,11,17,23,,228000,,228000,,,,,100000,113077,88.43564081,1,937;938;946;950;953;960;962,,"Atlantico, Bolivar, Choco, Guajira, Magdalena, San Andres Y Providencia, Sucre (Adm1)."
2020-0022-BRA,2020,0022,,Natural,Hydrological,Flood,,,,Brazil,BRA,South America,Americas,"Alfredo Chaves, Iconha Municipalities (Espirito Santo State); Minas Gerais state; Rio de Janeiro",Heavy rains,"Slide (land, mud, snow, rock)",Storm,,,Yes,,115220,Km2,-19.398,-45.901,,,2020,1,17,2020,1,27,61,12,11000,,11012,,,,,300000,339230,88.43564081,1;2,677;683,7136;7163,"Minas Gerais, Rio De Janeiro (Adm1). Alfredo Chaves, Iconha (Adm2)."
2020-0009-AFG,2020,0009,CW-2020-000008,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,Afghanistan,AFG,Southern Asia,Asia,"Helmand, Kandahar, Zabul, Uruzgan, Laghman, Herat, Badghis, Ghor, Daykundi, Bamyan, Baghlan provinces",,Cold wave,Snow/ice,,,,,,Kph,,,,,2020,1,12,2020,1,15,13,40,7441,,7481,,,,,,,88.43564081,1,273;274;276;280;281;282;285;290;303;99878;99881,,"Badghis, Baghlan, Bamyan, Daykundi, Ghor, Hilmand, Hirat, Kandahar, Laghman, Uruzgan, Zabul (Adm1)."
2020-0323-BGD,2020,0323,FL-2020-000166,Natural,Hydrological,Flood,,,,Bangladesh,BGD,Southern Asia,Asia,"Jamalpur, Kurigram, Gaibandha, Tangail, Sylhet, Sirajganj, Bogura, Sunamganj, Sherpur, Netrokona, Lalmonirhat, Moulovi Bazar, Faridpur, Manikganj, Nilphamari Chapai Nawabganj, Rajbari and Kushtia",Monsoonal rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2020,6,15,2020,9,30,257,,5448271,,5448271,,,,,500000,565383,88.43564081,1;2,580,5779;5782;5785;5790;5791;5793;5794;5800;5805;5807;5809;5810;5814;5819,"Sylhet (Adm1). Bogra, Faridpur, Gaibandha, Jamalpur, Kurigram, Kushtia, Lalmonirhat, Manikganj, Netrakona, Nilphamari, Rajbari, Sherpur, Sirajganj, Tangail (Adm2)."
2020-0285-BIH,2020,0285,FF-2020-000153,Natural,Hydrological,Flood,,,,Bosnia and Herzegovina,BIH,Southern Europe,Europe,Tuzla Canton,,"Slide (land, mud, snow, rock)",,,,Yes,,,Km2,,,,,2020,6,22,2020,6,23,,,15000,,15000,,,,,,,88.43564081,2,,6317,Tuzla (Adm2).
2020-0058-BOL,2020,0058,,Natural,Hydrological,Flood,,,,Bolivia (Plurinational State of),BOL,South America,Americas,"La Paz, Santa Cruz, Potosi, Beni, Cochabamba,Tarija Departments",Heavy rains,"Slide (land, mud, snow, rock)",,,,Yes,,,Km2,,,,Sapahaqui River,2020,2,13,2020,2,13,8,11,2500,,2511,,,,,,,88.43564081,1,40443;40445;40446;40448;40449;40450,,"Beni, Cochabamba, La Paz, Potosi, Santa Cruz, Tarija (Adm1)."
2020-0091-BOL,2020,0091,,Natural,Hydrological,Flood,,,,Bolivia (Plurinational State of),BOL,South America,Americas,"La Paz, Santa Cruz, Potosi, Beni, Cochabamba, Tarija",Seasonal rain,"Slide (land, mud, snow, rock)",,,,Yes,,,Km2,,,,,2020,2,8,2020,2,29,18,,35100,,35100,,,,,10000,11308,88.43564081,1,40443;40445;40446;40448;40449;40450,,"Beni, Cochabamba, La Paz, Potosi, Santa Cruz, Tarija (Adm1)."
2020-0056-BRA,2020,0056,,Natural,Hydrological,Flood,,,,Brazil,BRA,South America,Americas,"Marilia, Botucatu, Laranjal Paulista,Taboao da Serra (Sao Paulo State)",Heavy rains,"Slide (land, mud, snow, rock)",,,,Yes,,,Km2,,,,,2020,2,9,2020,2,11,5,,658,,658,,,,,50000,56538,88.43564081,2,,11279;11307;11569,"Laranjal Paulista, Marilia, Taboao Da Serra (Adm2)."
